City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Platón Sánchez,21.2833,-98.3667,75.65,84,100,8.23,MX,1666572035
Mabaruma,8.2,-59.7833,76.68,92,100,3.06,GY,1666572035
Cidreira,-30.1811,-50.2056,60.49,81,0,0.83,BR,1666572035
Camalú,30.85,-116.0667,64.13,64,0,10.25,MX,1666572036
Lebu,-37.6167,-73.65,48.81,87,100,9.22,CL,1666572036
Vardø,70.3705,31.1107,39.18,70,40,12.66,NO,1666572037
Ponta do Sol,32.6667,-17.1,69.01,68,100,5.75,PT,1666572037
Hofn,64.2539,-15.2082,40.42,79,100,10.76,IS,1666572037
Yakima,46.4665,-120.6678,55.33,49,0,5.75,US,1666572038
George Town,5.4112,100.3354,78.89,91,20,3.44,MY,1666571955
Zhigalovo,54.8097,105.1578,39.15,71,100,13.49,RU,1666572038
Arraial do Cabo,-22.9661,-42.0278,71.65,81,99,7.05,BR,1666572039
Majur,44.7697,19.6544,61.99,70,49,2.39,RS,1666572039
Atuona,-9.8,-139.0333,77.31,74,5,16.06,PF,1666572040
Strathpeffer,57.588,-4.5382,54.1,97,100,9.35,GB,1666572040
Clyde River,70.4692,-68.5914,25.03,86,100,11.5,CA,1666572040
Busselton,-33.65,115.3333,62.42,76,35,15.28,AU,1666572041
Mindyak,54.0231,58.7891,25.11,63,7,6.02,RU,1666572041
Poso,-1.3959,120.7524,79.63,80,100,2.04,ID,1666572042
Kaitangata,-46.2817,169.8464,47.53,76,100,11.21,NZ,1666572042
Lompoc,34.6391,-120.4579,71.56,68,0,21.85,US,1666572042
Carrollton,32.9537,-96.8903,82.83,52,40,21.85,US,1666572043
Province of Mantua,45.1667,10.7833,63.64,87,99,1.01,IT,1666572043
Mossamedes,-15.1961,12.1522,68.77,84,64,8.84,AO,1666572044
Turaif,31.6725,38.6637,64.65,63,0,9.22,SA,1666572045
Bathurst,-33.4166,149.5806,58.51,97,100,6.06,AU,1666572045
Hobart,-42.8794,147.3294,55.26,71,100,9.22,AU,1666571898
Karratha,-20.7377,116.8463,78.1,44,97,17.87,AU,1666572046
Upernavik,72.7868,-56.1549,22.98,73,73,4.63,GL,1666572046
Tuktoyaktuk,69.4541,-133.0374,14.0,85,20,5.75,CA,1666572046
Pucara,-15.9803,-71.4606,33.93,26,100,1.81,PE,1666572047
Matipó,-20.2839,-42.3411,66.18,92,100,4.63,BR,1666572048
Auki,-8.7676,160.7034,82.56,77,32,4.36,SB,1666572069
Burē,10.7,37.0667,55.62,87,83,4.16,ET,1666572070
Tasiilaq,65.6145,-37.6368,32.16,99,100,5.14,GL,1666572070
Ikongo,-21.8833,47.4333,64.29,95,4,2.24,MG,1666572070
Turan,16.0678,108.2208,78.78,73,20,2.3,VN,1666572071
Maningrida,-12.0667,134.2667,91.56,54,34,13.31,AU,1666571841
Isla Vista,34.4133,-119.861,71.78,47,0,9.22,US,1666572072
Saint-Felix-de-Valois,46.1668,-73.4324,57.52,87,100,3.38,CA,1666572072
San Rafael,-34.6177,-68.3301,70.66,36,15,8.97,AR,1666572072
Sterling,39.0062,-77.4286,62.6,76,100,13.8,US,1666571719
Tarauacá,-8.1614,-70.7656,72.73,98,100,0.34,BR,1666572073
Ostrovnoy,68.0531,39.5131,38.28,88,100,33.51,RU,1666572073
Whitehorse,60.7161,-135.0538,34.57,81,75,9.22,CA,1666571878
Yichun,47.7,128.9,35.28,46,0,3.65,CN,1666571973
Saint-Joseph,-21.3667,55.6167,66.58,79,24,7.52,RE,1666572075
Bambous Virieux,-20.3428,57.7575,70.21,94,75,4.61,MU,1666572075
Guerrero Negro,27.9769,-114.0611,69.67,65,0,13.87,MX,1666571809
Atar,20.5169,-13.0499,84.65,14,0,4.18,MR,1666572076
Cham,47.1821,8.4636,60.31,91,100,4.61,CH,1666572077
Storslett,69.7678,21.0247,39.2,60,100,14.97,NO,1666572077
Flin Flon,54.7682,-101.865,31.42,59,100,9.82,CA,1666572078
Saskylakh,71.9167,114.0833,-0.35,100,95,2.42,RU,1666572078
Asău,46.4333,26.4,42.28,90,21,5.77,RO,1666572079
Norman Wells,65.282,-126.8329,24.84,93,100,4.61,CA,1666572080
Bredasdorp,-34.5322,20.0403,59.34,94,7,6.24,ZA,1666572080
Port Hedland,-20.3167,118.5667,82.45,44,40,14.97,AU,1666572081
São José da Coroa Grande,-8.8978,-35.1478,76.28,86,84,8.57,BR,1666572081
Yermekeyevo,54.0761,53.6712,36.07,71,100,11.41,RU,1666572082
Egvekinot,66.3167,-179.1667,14.14,89,91,2.71,RU,1666572082
Bundaberg,-24.85,152.35,80.33,60,100,8.05,AU,1666572082
Yetkul',54.8221,61.588,26.83,65,24,9.22,RU,1666572083
Leshukonskoye,64.8989,45.7622,31.75,96,100,9.69,RU,1666572083
Meulaboh,4.1363,96.1285,78.84,83,72,3.69,ID,1666572084
Rodrigues Alves,-7.738,-72.6509,73.27,97,100,0.98,BR,1666572084
Mar del Plata,-38.0023,-57.5575,59.09,83,0,25.99,AR,1666572106
Pangnirtung,66.1451,-65.7125,23.99,86,98,4.9,CA,1666572106
Ankpa,7.3706,7.6253,71.22,92,100,3.13,NG,1666572107
Iqaluit,63.7506,-68.5145,29.93,92,100,9.22,CA,1666572107
Dingle,10.9995,122.6711,83.86,77,100,6.89,PH,1666572108
Maltahöhe,-24.8333,16.9833,73.26,16,100,5.79,NA,1666572108
Bethel,41.3712,-73.414,57.78,68,100,6.91,US,1666572109
Ibipeba,-11.6408,-42.0111,74.07,71,100,7.87,BR,1666572109
Los Llanos de Aridane,28.6585,-17.9182,65.95,80,0,6.91,ES,1666572110
Kirksville,40.1948,-92.5833,77.05,57,0,20.71,US,1666571865
Kloulklubed,7.0419,134.2556,81.1,77,98,15.3,PW,1666572111
Mackay,-21.15,149.2,89.69,70,4,15.84,AU,1666572111
Mbalmayo,3.5167,11.5,71.92,99,47,1.83,CM,1666572112
Poronaysk,49.2167,143.1167,37.96,51,10,4.52,RU,1666572112
Ilulissat,69.2167,-51.1,30.22,93,75,0.0,GL,1666572113
Baruun-Urt,46.6806,113.2792,40.46,35,0,10.42,MN,1666572113
Zhangye,38.9342,100.4517,52.36,30,100,2.89,CN,1666572113
Hukuntsi,-24.0,21.75,69.67,51,36,2.04,BW,1666572114
Opuwo,-18.0607,13.84,74.39,33,91,4.0,NA,1666572114
Srednekolymsk,67.45,153.6833,3.38,90,96,5.17,RU,1666572115
Broome,42.2506,-75.833,57.56,81,100,1.01,US,1666572116
Yashiro,34.9167,134.9667,61.83,52,68,8.93,JP,1666572116
Santa Rosa del Sur,7.9644,-74.0544,70.48,94,100,2.8,CO,1666572117
Carnarvon,-24.8667,113.6333,70.0,62,6,17.78,AU,1666572117
Nizhnevartovsk,60.9344,76.5531,28.42,74,0,18.01,RU,1666572118
Sri Aman,1.2376,111.4621,77.09,94,40,2.3,MY,1666572119
Esik,43.3552,77.4525,43.05,87,100,2.13,KZ,1666572119
Rexburg,43.826,-111.7897,39.18,54,100,5.75,US,1666572119
Puerto Ayora,-0.7393,-90.3518,66.54,89,90,5.99,EC,1666572120
Mount Gambier,-37.8333,140.7667,55.31,100,100,16.11,AU,1666572120
Farmington,36.7281,-108.2187,48.88,34,0,17.27,US,1666571802
Kinablangan,7.6947,126.5503,85.39,67,100,4.16,PH,1666572121
Blackwater,-23.5833,148.8833,88.84,37,18,11.07,AU,1666572121
Killybegs,54.6333,-8.45,51.04,93,81,5.21,IE,1666572122
Saint Paul Harbor,57.79,-152.4072,47.71,43,0,19.57,US,1666571899
Weligama,5.9667,80.4167,76.66,89,100,8.1,LK,1666572122
Port Moresby,-9.4431,147.1797,85.57,60,5,5.14,PG,1666572123
Sangar,63.9242,127.4739,16.0,82,100,21.52,RU,1666572123
La Ronge,55.1001,-105.2842,37.65,65,75,10.36,CA,1666572124
Hithadhoo,-0.6,73.0833,81.45,73,94,6.98,MV,1666572124
Santa Cruz de la Sierra,-17.8,-63.1667,76.46,73,100,2.3,BO,1666572124
Winston-Salem,36.0999,-80.2442,56.26,74,0,0.0,US,1666572125
Grand Forks,47.9417,-97.4337,73.13,53,100,16.11,US,1666572125
Vostok,46.4856,135.8833,34.68,54,7,3.67,RU,1666572126
Evensk,61.95,159.2333,14.67,76,39,7.99,RU,1666572126
Bengkulu,-3.8004,102.2655,78.48,85,96,3.62,ID,1666572127
Dossor,47.5272,52.9811,42.06,62,0,8.68,KZ,1666572127
Vila Franca do Campo,37.7167,-25.4333,63.19,79,57,13.94,PT,1666572128
Sur,22.5667,59.5289,78.33,38,0,7.27,OM,1666572128
Voh,-20.9667,164.7,75.34,80,100,7.7,NC,1666572129
Saint-Augustin,51.226,-58.6502,47.71,66,0,8.01,CA,1666572129
Roxana,10.2753,-83.7513,81.03,97,100,2.57,CR,1666572130
Ayr,55.4627,-4.6339,55.31,94,40,2.3,GB,1666572130
Gouré,13.9835,10.2704,80.98,26,8,7.18,NE,1666572130
Sorrento,40.626,14.3744,65.66,95,0,3.29,IT,1666572131
Yatou,37.15,122.3833,56.91,40,0,10.38,CN,1666572131
Baykit,61.67,96.37,26.22,82,93,11.95,RU,1666572132
Dubbo,-32.25,148.6167,72.36,67,100,8.63,AU,1666572132
Oistins,13.0667,-59.5333,82.49,78,20,13.8,BB,1666572132
Makurdi,7.7411,8.5121,74.43,94,97,3.85,NG,1666572133
Kaya,13.0917,-1.0844,80.8,27,0,5.7,BF,1666572133
Māngrol,21.1167,70.1167,78.48,57,0,4.23,IN,1666572134
Daru,-9.0763,143.2092,86.85,62,10,5.35,PG,1666572134
Tucuruí,-3.7661,-49.6725,81.93,66,50,3.67,BR,1666572135
Ouadda,8.0777,22.4007,68.02,79,12,4.12,CF,1666572135
Mirny,62.5353,113.9611,39.24,86,77,13.0,RU,1666572136
Çorum Province,40.5,34.75,45.34,36,0,1.72,TR,1666572136
Cabo San Lucas,22.8909,-109.9124,85.3,64,8,8.01,MX,1666572137
Port Lincoln,-34.7333,135.8667,59.92,83,100,14.74,AU,1666572137
La Asuncion,11.0333,-63.8628,83.93,84,10,12.66,VE,1666572137
Wukari,7.85,9.7833,72.63,95,100,4.0,NG,1666572138
Vila Velha,-20.3297,-40.2925,73.35,91,75,4.61,BR,1666572138
Chiang Klang,19.2938,100.8617,77.43,76,21,0.27,TH,1666572139
Zhezkazgan,47.8043,67.7144,17.58,79,0,8.95,KZ,1666572139
College,64.8569,-147.8028,32.58,94,100,3.44,US,1666572140
Severo-Kuril'sk,50.6789,156.125,36.72,94,99,2.68,RU,1666571939
San Borja,-14.8167,-66.85,74.44,84,91,0.38,BO,1666572140
Busdi,8.2761,125.2514,82.74,63,91,1.7,PH,1666572141
Touros,-5.1989,-35.4608,78.12,82,5,13.15,BR,1666572141
Ville-Marie,47.3335,-79.433,56.25,86,100,5.32,CA,1666572142
Kununurra,-15.7667,128.7333,101.95,20,13,8.86,AU,1666572142
Samaná,19.2056,-69.3369,77.45,86,19,6.15,DO,1666572143
Mweka,-4.85,21.5667,67.51,97,100,2.15,CD,1666572143
Padang,-0.9492,100.3543,73.45,85,100,2.35,ID,1666572144
São Geraldo do Araguaia,-6.4006,-48.555,84.49,51,76,3.02,BR,1666572144
Baoqing,46.3317,132.2111,41.4,42,0,9.53,CN,1666572145
Aguçadoura,41.4318,-8.7804,61.36,89,46,11.79,PT,1666572145
Makakilo City,21.3469,-158.0858,86.32,58,40,18.41,US,1666572146
Dunedin,-45.8742,170.5036,45.81,88,100,8.99,NZ,1666572146
Tura,25.5198,90.2201,70.27,82,100,3.24,IN,1666572147
Sabha,27.0377,14.4283,61.36,40,0,9.69,LY,1666572148
Kamenka,51.3223,42.7678,42.21,85,100,12.66,RU,1666572148
North Bend,43.4065,-124.2243,57.11,83,0,6.91,US,1666572149
Sitka,57.0531,-135.33,39.92,90,100,10.71,US,1666571924
Imbituba,-28.24,-48.6703,65.17,88,100,2.71,BR,1666572150
Salalah,17.0151,54.0924,77.09,69,0,3.44,OM,1666572150
Sinnamary,5.3833,-52.95,81.54,84,100,13.2,GF,1666572151
Rongcheng,30.634,117.8517,65.68,36,96,6.4,CN,1666572151
Verkhnevilyuysk,63.4453,120.3167,33.85,94,100,11.1,RU,1666572152
Hong Kong,22.2855,114.1577,80.65,65,39,8.99,HK,1666572152
Lhokseumawe,5.1801,97.1507,75.83,94,100,8.5,ID,1666572152
Bubaque,11.2833,-15.8333,82.09,73,100,7.38,GW,1666572153
Walvis Bay,-22.9575,14.5053,59.09,88,99,10.36,NA,1666572153
Along,28.1667,94.7667,67.78,77,100,2.46,IN,1666572154
Camaná,-16.6228,-72.7111,63.88,80,6,8.7,PE,1666572154
Pisco,-13.7,-76.2167,61.02,82,0,18.41,PE,1666572155
Goderich,43.7501,-81.7165,64.72,52,100,8.05,CA,1666572155
Nouadhibou,20.931,-17.0347,69.78,83,1,8.05,MR,1666572155
Stykkisholmur,65.0757,-22.7297,41.13,75,96,6.42,IS,1666572156
Katsuura,35.1333,140.3,60.73,81,83,18.86,JP,1666572156
Ampanihy,-24.7,44.75,67.68,89,3,4.94,MG,1666572157
Sault Ste. Marie,46.5168,-84.3333,59.56,82,75,11.5,CA,1666572157
Llata,-9.4167,-76.7833,54.61,92,100,3.89,PE,1666572157
Fortuna,40.5982,-124.1573,57.09,69,0,18.41,US,1666572158
Kuzino,57.0224,59.4412,31.12,75,100,13.73,RU,1666572158
Torbay,47.6666,-52.7314,54.27,90,40,8.05,CA,1666572159
Pyaozerskiy,65.8333,31.1667,37.15,75,82,18.01,RU,1666572159
Kulhudhuffushi,6.6221,73.07,80.49,81,98,15.73,MV,1666572160
Tevaitoa,-16.7833,-151.5,79.39,74,15,9.37,PF,1666572160
Nishihara,26.1842,127.7558,74.86,69,75,23.02,JP,1666572160
Faanui,-16.4833,-151.75,79.54,74,21,9.46,PF,1666572161
Margate,51.3813,1.3862,61.3,82,85,10.0,GB,1666572161
Altay,47.8667,88.1167,32.0,62,39,5.61,CN,1666572162
Marawi,7.9986,124.2928,78.64,72,93,2.91,PH,1666572162
Kawalu,-7.3817,108.2082,77.36,82,100,1.52,ID,1666572163
Bouloupari,-21.8667,166.05,84.11,82,100,5.26,NC,1666572163
Point Fortin,10.1833,-61.6833,78.85,82,100,13.0,TT,1666572164
Comodoro Rivadavia,-45.8667,-67.5,64.26,34,0,12.66,AR,1666571883
Mount Isa,-20.7333,139.5,95.61,21,6,20.11,AU,1666572164
Vermillion,42.7794,-96.9292,78.96,50,97,16.69,US,1666572165
Kudahuvadhoo,2.6708,72.8944,81.93,73,56,16.15,MV,1666572165
Ponta Delgada,37.7333,-25.6667,63.5,77,20,11.5,PT,1666572165
Solwezi,-12.1688,26.3894,63.61,77,65,2.53,ZM,1666572166
Vaini,-21.2,-175.2,77.16,65,75,17.27,TO,1666572166
Hermanus,-34.4187,19.2345,63.81,85,32,11.79,ZA,1666572167
Jacmel,18.2342,-72.5347,82.24,84,83,2.71,HT,1666572167
Codrington,-38.2667,141.9667,54.34,96,100,17.87,AU,1666572168
Mayumba,-3.432,10.6554,76.62,91,100,6.55,GA,1666572168
Peniche,39.3558,-9.3811,63.1,90,77,10.16,PT,1666572168
Mardin,37.3131,40.7436,54.43,41,0,4.59,TR,1666572169
Aykhal,66.0,111.5,28.99,97,100,2.17,RU,1666572170
Laas,46.6166,10.7002,56.28,96,97,3.74,IT,1666572170
Saldanha,-33.0117,17.9442,57.25,92,33,12.97,ZA,1666572170
Sibu,2.3,111.8167,73.71,100,40,5.99,MY,1666572171
Verkhnyaya Inta,65.9811,60.3094,31.05,94,97,15.46,RU,1666572171
Itarema,-2.9248,-39.9167,78.78,82,10,15.21,BR,1666572172
Moa,20.6569,-74.9403,77.88,86,100,13.69,CU,1666572172
Zarubino,42.63,131.0922,43.74,51,1,9.64,RU,1666572172
Hamilton,39.1834,-84.5333,68.72,55,0,9.22,US,1666572005
Vestmanna,62.1564,-7.1664,43.72,81,75,9.22,FO,1666572173
Klaksvík,62.2266,-6.589,45.52,82,100,19.93,FO,1666572173
Saint George,37.1041,-113.5841,52.43,45,75,12.66,US,1666571719
Shingū,33.7333,135.9833,67.59,48,0,3.33,JP,1666572174
Nemuro,43.3236,145.575,48.25,78,100,11.03,JP,1666572174
Te Karaka,-38.4654,177.8679,81.19,19,4,5.75,NZ,1666572175
Banes,20.9625,-75.7186,76.91,82,5,9.66,CU,1666572175
Pemberton,50.3164,-122.8027,47.89,67,100,5.73,CA,1666572175
Raudeberg,61.9875,5.1352,47.07,13,100,6.17,NO,1666572176
Quatre Cocos,-20.2078,57.7625,70.09,81,14,9.62,MU,1666572177
Tabou,4.423,-7.3528,76.51,89,96,5.37,CI,1666572177
Payo,-3.7508,103.6372,75.58,93,99,1.28,ID,1666572177
Dikson,73.5069,80.5464,27.63,84,100,21.3,RU,1666572178
Hambantota,6.1241,81.1185,77.34,100,20,8.05,LK,1666572178
Ahipara,-35.1667,173.1667,64.71,57,4,6.69,NZ,1666572178
Quelimane,-17.8786,36.8883,76.95,88,0,9.22,MZ,1666572179
Aracaju,-10.9111,-37.0717,78.75,83,0,11.5,BR,1666571926
Khandyga,62.6667,135.6,12.61,91,95,5.06,RU,1666572181
Sørland,67.667,12.6934,39.06,55,100,7.99,NO,1666572181
Prince Rupert,54.3161,-130.3201,51.49,88,100,28.77,CA,1666572181
Warin Chamrap,15.1932,104.8628,80.91,88,44,5.75,TH,1666572182
Grand Gaube,-20.0064,57.6608,70.38,81,10,3.0,MU,1666572182
São Filipe,14.8961,-24.4956,79.2,70,0,8.23,CV,1666572183
Yessentukskaya,44.0328,42.8813,43.02,57,100,3.62,RU,1666572183
Hinton,53.4001,-117.5857,30.36,80,53,2.73,CA,1666572184
Snåase,64.2457,12.3778,31.41,83,19,4.94,NO,1666572184
Mujiayingzi,42.1167,118.7833,45.97,31,0,4.54,CN,1666572184
Ayan,56.45,138.1667,33.35,49,8,9.48,RU,1666572185
Kotma,23.2,81.9667,59.94,73,9,5.84,IN,1666572185
Bathsheba,13.2167,-59.5167,83.01,78,20,13.8,BB,1666572186
São Gabriel da Cachoeira,-0.1303,-67.0892,73.58,99,100,1.81,BR,1666572187
Port Elizabeth,-33.918,25.5701,63.1,94,75,8.05,ZA,1666572187
Nova Olímpia,-14.7972,-57.2881,75.54,80,100,2.39,BR,1666572188
Marabu,4.4148,114.0089,78.94,89,40,5.75,MY,1666572188
Homer,59.6425,-151.5483,42.76,54,0,4.61,US,1666572189
Baharly,38.4362,57.4316,56.86,77,14,3.89,TM,1666572189
Ribeira Grande,38.5167,-28.7,63.77,73,62,3.0,PT,1666572190
Altea,38.5989,-0.0514,72.68,70,100,6.67,ES,1666572190
Melilla,35.2937,-2.9383,66.58,72,0,2.3,ES,1666572191
Provideniya,64.3833,-173.3,28.51,80,40,2.24,RU,1666572191
Aklavik,68.2191,-135.0107,9.1,98,90,1.25,CA,1666572192
Tautira,-17.7333,-149.15,78.48,76,19,8.05,PF,1666572192
Pitimbu,-7.4706,-34.8086,79.39,81,63,12.41,BR,1666572193
Road Town,18.4167,-64.6167,82.49,78,40,3.44,VG,1666572105
Nicaea,40.4286,29.7211,44.35,63,1,3.11,TR,1666572056
Taksimo,56.3444,114.8794,27.01,77,100,0.96,RU,1666572194
Mareeba,-17.0,145.4333,88.45,59,0,5.44,AU,1666572194
Verkhoyansk,67.5447,133.385,2.66,94,89,3.31,RU,1666572194
Chara,56.9064,118.2631,29.26,72,100,2.66,RU,1666572195
Riyadh,24.6877,46.7219,68.14,20,0,4.43,SA,1666572047
Nuuk,64.1835,-51.7216,34.41,100,100,13.8,GL,1666572195
Gambēla,8.25,34.5833,67.86,97,7,3.31,ET,1666572196
Ishinomaki,38.4167,141.3,53.6,52,100,11.52,JP,1666572196
Bar Harbor,44.3876,-68.2039,56.53,84,0,1.01,US,1666572197
Bluefields,12.0137,-83.7635,76.71,91,31,5.5,NI,1666572197
Celestún,20.8667,-90.4,76.03,72,10,15.3,MX,1666572197
Grayvoron,50.4767,35.6773,46.4,91,100,11.43,RU,1666572198
Sobolevo,54.4299,31.8996,44.94,94,100,8.79,RU,1666572198
Nuevitas,21.5453,-77.2644,76.01,86,14,9.1,CU,1666572199
Alpinópolis,-20.8636,-46.3881,71.24,56,87,1.32,BR,1666572199
Geraldton,-28.7667,114.6,65.98,60,93,16.91,AU,1666572200
Coquimbo,-29.9533,-71.3436,53.33,87,0,6.91,CL,1666572106
Menongue,-14.6585,17.691,68.88,63,87,0.38,AO,1666572200
Mitú,1.1983,-70.1733,73.33,99,100,2.71,CO,1666572201
Kidal,18.4411,1.4078,74.35,19,29,11.83,ML,1666572201
Biltine,14.5333,20.9167,82.62,20,57,21.21,TD,1666572201
Lerik,38.7726,48.4128,45.32,79,0,2.77,AZ,1666572202
Maniitsoq,65.4167,-52.9,34.84,98,100,8.16,GL,1666572202
Narrabri,-30.3167,149.7833,78.53,64,28,1.01,AU,1666572203
Pangody,65.85,74.4859,27.86,96,100,9.71,RU,1666572203
Marystown,47.1666,-55.1483,53.85,84,100,10.16,CA,1666572192
Mucuri,-18.0864,-39.5508,73.56,90,100,10.36,BR,1666572203
Naze,28.3667,129.4833,72.52,61,47,20.33,JP,1666572204
Portland,45.5234,-122.6762,58.8,63,75,3.0,US,1666572120
Taltal,-25.4,-70.4833,62.44,70,0,5.23,CL,1666572204
Springbok,-29.6643,17.8865,56.62,72,90,2.66,ZA,1666572205
Yārāda,17.65,83.2667,73.72,94,40,4.61,IN,1666572206
Rawson,-43.3002,-65.1023,66.49,42,0,13.8,AR,1666572206
Areosa,41.7178,-8.8571,58.73,91,70,10.96,PT,1666572207
Nanortalik,60.1432,-45.2371,37.22,90,99,3.69,GL,1666572207
Camacha,33.0833,-16.3333,65.62,73,40,2.3,PT,1666572208
Palimbang,6.2106,124.1894,82.22,80,99,3.31,PH,1666572209
Kavieng,-2.5744,150.7967,84.07,64,45,2.77,PG,1666572209
Poli,-3.3333,36.8,57.47,92,97,3.24,TZ,1666572210
Hasaki,35.7333,140.8333,55.29,77,100,24.61,JP,1666572211
Zemio,5.0314,25.1361,69.26,96,44,2.04,CF,1666572211
New Richmond,45.123,-92.5366,73.08,65,40,13.8,US,1666572211
